framework_key,code,year_level,learning_area,description
ACARA,ACARA-AS-HEALTH-AND-PHYSICAL-EDUCATION-HEALTH-AND-PHYSICAL-EDUCATION-Y3,3,Health and Physical Education,"By the end of Year 4, students identify influences that strengthen identities and describe strategies to manage emotions, changes and transitions. They apply skills and strategies to interact respectfully with others. They describe the influences that inclusion and stereotypes have on choices and actions. Students describe and apply protective behaviours and help-seeking strategies to keep themselves and others safe online and offline. They interpret health information to apply strategies to enhance their own and others’ health, safety, relationships and wellbeing. Students apply fundamental movement skills and demonstrate movement concepts across a range of situations. They adapt movement strategies to enhance movement outcomes. Students examine factors that influence participation and propose strategies to incorporate regular physical activity into their own and others’ lives. They demonstrate fair play and inclusion through a range of roles in movement contexts."
ACARA,ACARA-AS-HEALTH-AND-PHYSICAL-EDUCATION-HEALTH-AND-PHYSICAL-EDUCATION-Y4,4,Health and Physical Education,"By the end of Year 4, students identify influences that strengthen identities and describe strategies to manage emotions, changes and transitions. They apply skills and strategies to interact respectfully with others. They describe the influences that inclusion and stereotypes have on choices and actions. Students describe and apply protective behaviours and help-seeking strategies to keep themselves and others safe online and offline. They interpret health information to apply strategies to enhance their own and others’ health, safety, relationships and wellbeing. Students apply fundamental movement skills and demonstrate movement concepts across a range of situations. They adapt movement strategies to enhance movement outcomes. Students examine factors that influence participation and propose strategies to incorporate regular physical activity into their own and others’ lives. They demonstrate fair play and inclusion through a range of roles in movement contexts."
ACARA,ACARA-AS-HEALTH-AND-PHYSICAL-EDUCATION-HEALTH-AND-PHYSICAL-EDUCATION-Y5,5,Health and Physical Education,"By the end of Year 6, students explain how different factors influence identities. They propose strategies to manage emotions, developmental changes and transitions. They propose strategies to demonstrate respect, empathy and inclusion. They explain how stereotypes influence roles and responsibilities. Students explain how communication skills, protective behaviours and help-seeking strategies keep themselves and others safe online and offline. They analyse health information to refine strategies to enhance their own and others’ health, safety, relationships and wellbeing. Students refine and modify movement skills and apply movement concepts across a range of situations. They transfer movement strategies between situations and evaluate the impact on movement outcomes. Students propose strategies to promote physical activity participation that enhance health, fitness and wellbeing. They describe contributions they can make as a group and team member to support fair play and inclusion across a range of movement contexts."
ACARA,ACARA-AS-HEALTH-AND-PHYSICAL-EDUCATION-HEALTH-AND-PHYSICAL-EDUCATION-Y6,6,Health and Physical Education,"By the end of Year 6, students explain how different factors influence identities. They propose strategies to manage emotions, developmental changes and transitions. They propose strategies to demonstrate respect, empathy and inclusion. They explain how stereotypes influence roles and responsibilities. Students explain how communication skills, protective behaviours and help-seeking strategies keep themselves and others safe online and offline. They analyse health information to refine strategies to enhance their own and others’ health, safety, relationships and wellbeing. Students refine and modify movement skills and apply movement concepts across a range of situations. They transfer movement strategies between situations and evaluate the impact on movement outcomes. Students propose strategies to promote physical activity participation that enhance health, fitness and wellbeing. They describe contributions they can make as a group and team member to support fair play and inclusion across a range of movement contexts."
ACARA,ACARA-AS-HUMANITIES-AND-SOCIAL-SCIENCES-HASS-Y0,0,HASS,"By the end of Foundation, students identify significant people and events in their own lives, and how significant events are celebrated or commemorated. Students recognise the features of familiar places, why some places are special to people and the ways they can care for them.

Students pose questions, and sort and record information from observations and provided sources. They share a perspective and draw conclusions. Students use sources and terms to share observations about places and the past."
ACARA,ACARA-AS-HUMANITIES-AND-SOCIAL-SCIENCES-HASS-Y1,1,HASS,"By?the end of Year 1, students?identify continuity and change in family structures, roles and significant aspects of daily life. They?identify the location and nature of the natural, managed and constructed features of local places, the ways places change, and how they can be cared for by people.

Students develop questions and collect, sort and record information and data from observations and provided sources. They interpret information and discuss perspectives. Students draw conclusions and make proposals. Students share narratives and observations about people, places and the past, drawing on sources and incorporating subject-specific terms."
ACARA,ACARA-AS-HUMANITIES-AND-SOCIAL-SCIENCES-HASS-Y2,2,HASS,"By the end of Year 2, students identify the significance of a local person, group, place and/or building. They identify the effects of changes in technologies on people’s lives. Students identify that places can be spatially represented in different geographical divisions. They identify how people and places are interconnected both at local and broader scales.

Students?develop questions, and collect, sort and record related information and data from observations and provided sources. They interpret information and data, and identify and discuss perspectives. Students use interpretations to draw conclusions and make proposals. Students use sources, and subject-specific terms to present narratives and observations about the past, people and places at different scales."
ACARA,ACARA-AS-HUMANITIES-AND-SOCIAL-SCIENCES-HASS-Y3,3,HASS,"By the end of Year 3, students describe the causes, effects and contributions of people to change. They identify the significance of events, symbols and emblems to Australia’s identity and diversity. They describe the representation of places within and near Australia. They identify the similarities, differences and connections of people to places across those scales. Students describe the importance of rules and people’s contributions to communities.
 Students develop questions and locate, collect and record information and data from different sources. They interpret information and data in different formats. They analyse information and data to identify perspectives and they draw conclusions. They propose actions or responses. Students use ideas from sources, and subject-specific terms to present descriptions and explanations."
ACARA,ACARA-AS-HUMANITIES-AND-SOCIAL-SCIENCES-HASS-Y4,4,HASS,"By the end of Year 4, students describe the diversity of experiences of people in Australia prior to and following 1788. They describe the events and causes of the establishment of the first British colony in Australia. They describe the effects of colonisation on people and environments. Students describe the importance of environments, and sustainable allocation and management of resources. They describe the importance and role of local government, community members and laws, and the cultural and social factors that shape identity.
Students develop questions and locate, collect and record information and data from a range of sources and formats. They interpret and analyse information and data to identify perspectives, and draw conclusions. Students propose considered actions or responses. Students use ideas from sources and relevant subject-specific terms to present descriptions and explanations."
ACARA,ACARA-AS-HUMANITIES-AND-SOCIAL-SCIENCES-HASS-Y5,5,HASS,"By the end of Year 5, students explain the causes for the establishment of the British colonies in Australia after 1800. They explain the roles of significant individuals or groups in the development of an Australian colony and the impact of those developments. They explain the influence of people on the characteristics of places and in the management of spaces. Students explain the key values and features of Australia’s democracy and how people achieve civic goals. They explain the nature of resources, and how they meet needs and wants.
 Students develop questions and locate, collect and organise information and data from primary and secondary sources. They evaluate sources to determine origin and perspectives. Students evaluate information and data to identify and describe patterns or trends. They suggest conclusions based on evidence. Students consider criteria in proposing actions or responses. Students select ideas and findings from sources and use relevant terms and conventions, to present descriptions and explanations."
ACARA,ACARA-AS-HUMANITIES-AND-SOCIAL-SCIENCES-HASS-Y6,6,HASS,"By the end of Year 6, students explain the roles of significant people, events and ideas that led to Australian Federation, democracy and citizenship. They explain the causes and effects of migration to Australia since Federation. They explain the geographical diversity of places and the effects of interconnections with other countries. Students explain the key institutions, roles and responsibilities of Australia’s levels of government, and democratic values and beliefs. They explain influences on consumers and strategies for informed consumer and financial choices.

Students develop questions, and locate, collect and organise information and data from a range of primary and secondary sources. They evaluate sources to determine origin, purpose and perspectives. Students evaluate a range of information and data formats to identify and describe patterns, trends or inferred relationships. They evaluate evidence to draw conclusions. Students propose actions or responses and use criteria to assess the possible effects. Students select and organise ideas and findings from sources, and use a range of relevant terms and conventions, to present descriptions and explanations."
ACARA,ACARA-AS-LANGUAGES-ARABIC-F-10-SEQUENCE-Y0,0,Arabic,"By the end of the Foundation year, students use play and imagination to interact and create Arabic texts, with support. They identify that Arabic and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-ARABIC-F-10-SEQUENCE-Y1,1,Arabic,"By the end of Year 2, students use Arabic language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts. They copy the letters and vowel marks of the Arabic alphabet to mark words.

Students imitate the sounds and rhythms of spoken Arabic. They demonstrate understanding that Arabic has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of Arabic and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-ARABIC-F-10-SEQUENCE-Y2,2,Arabic,"By the end of Year 2, students use Arabic language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts. They copy the letters and vowel marks of the Arabic alphabet to mark words.

Students imitate the sounds and rhythms of spoken Arabic. They demonstrate understanding that Arabic has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of Arabic and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-ARABIC-F-10-SEQUENCE-Y3,3,Arabic,"By the end of Year 4, students use Arabic language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts, using letter conventions as appropriate.

Students imitate sound combinations and rhythms of spoken Arabic. They demonstrate understanding that Arabic has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Arabic and make comparisons between Arabic and English. They understand that the Arabic language is connected with culture, and identify how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-ARABIC-F-10-SEQUENCE-Y4,4,Arabic,"By the end of Year 4, students use Arabic language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts, using letter conventions as appropriate.

Students imitate sound combinations and rhythms of spoken Arabic. They demonstrate understanding that Arabic has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Arabic and make comparisons between Arabic and English. They understand that the Arabic language is connected with culture, and identify how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-ARABIC-F-10-SEQUENCE-Y5,5,Arabic,"By the end of Year 6, students initiate and use strategies to maintain interactions in Arabic language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Arabic or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures, and conventions of letter position, to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules for pronunciation and intonation in spoken Arabic. They apply conventions of spelling and punctuation and use modelled structures, when creating and responding in Arabic. They compare language structures and features in Arabic and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-ARABIC-F-10-SEQUENCE-Y6,6,Arabic,"By the end of Year 6, students initiate and use strategies to maintain interactions in Arabic language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Arabic or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures, and conventions of letter position, to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules for pronunciation and intonation in spoken Arabic. They apply conventions of spelling and punctuation and use modelled structures, when creating and responding in Arabic. They compare language structures and features in Arabic and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-FIRST-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y0,0,Auslan,"By the end of the Foundation year, students use play and imagination to interact and create Auslan texts, with support. They identify that Auslan and English are different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-FIRST-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y1,1,Auslan,"By the end of Year 2, students use Auslan to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar signs including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.
Students recognise and use the parameters of signs. They demonstrate understanding that Auslan has conventions and rules for signs and features of language. They give examples of similarities and differences between some features of Auslan and English. They understand that language is connected with culture and identity, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-FIRST-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y2,2,Auslan,"By the end of Year 2, students use Auslan to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar signs including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.
Students recognise and use the parameters of signs. They demonstrate understanding that Auslan has conventions and rules for signs and features of language. They give examples of similarities and differences between some features of Auslan and English. They understand that language is connected with culture and identity, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-FIRST-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y3,3,Auslan,"By the end of Year 4, students use Auslan to initiate structured interactions to share information related to the classroom and their personal worlds. They participate in activities that involve planning and transacting. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use familiar and formulaic language and basic syntax, including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts appropriate to context.
Students use combinations of signs and demonstrate understanding that Auslan has language conventions and rules to create and make meaning. They identify patterns in Auslan and make comparisons between Auslan and English. They understand that Auslan is connected with cultural identity, and identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-FIRST-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y4,4,Auslan,"By the end of Year 4, students use Auslan to initiate structured interactions to share information related to the classroom and their personal worlds. They participate in activities that involve planning and transacting. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use familiar and formulaic language and basic syntax, including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts appropriate to context.
Students use combinations of signs and demonstrate understanding that Auslan has language conventions and rules to create and make meaning. They identify patterns in Auslan and make comparisons between Auslan and English. They understand that Auslan is connected with cultural identity, and identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-FIRST-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y5,5,Auslan,"By the end of Year 6, students initiate and use strategies to maintain interactions in Auslan that are related to experiences of their personal worlds. They collaborate in activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Auslan or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a range of signs, depicting signs (DSs), non-manual features (NMFs) and signing spaces. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of signs, pace and signing space to develop fluency. They use modelled and formulaic structures when creating and responding in Auslan. They compare language structures and features in Auslan and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-FIRST-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y6,6,Auslan,"By the end of Year 6, students initiate and use strategies to maintain interactions in Auslan that are related to experiences of their personal worlds. They collaborate in activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Auslan or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a range of signs, depicting signs (DSs), non-manual features (NMFs) and signing spaces. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of signs, pace and signing space to develop fluency. They use modelled and formulaic structures when creating and responding in Auslan. They compare language structures and features in Auslan and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-SECOND-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y0,0,Auslan,"By the end of the Foundation year, students use play and imagination to interact and create Auslan texts, with support. They identify that Auslan and English are different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-SECOND-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y1,1,Auslan,"By the end of Year 2, students use Auslan to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar signs and modelled language, including some fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.

Students imitate the parameters of signs. They demonstrate understanding that Auslan has conventions and rules for signing. They give examples of similarities and differences between some features of Auslan and English. They understand that language is connected with culture and identity, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-SECOND-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y2,2,Auslan,"By the end of Year 2, students use Auslan to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar signs and modelled language, including some fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.

Students imitate the parameters of signs. They demonstrate understanding that Auslan has conventions and rules for signing. They give examples of similarities and differences between some features of Auslan and English. They understand that language is connected with culture and identity, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-SECOND-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y3,3,Auslan,"By the end of Year 4, students use Auslan to initiate structured interactions to share information related to the classroom and their personal worlds. They use familiar language to participate in activities that involve planning. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax, including familiar fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.

Students use modelled combinations of signs and demonstrate understanding that Auslan has language conventions and rules to create and make meaning. They identify patterns in Auslan and make comparisons between Auslan and English. They understand that Auslan is connected with culture and identity, and identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-SECOND-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y4,4,Auslan,"By the end of Year 4, students use Auslan to initiate structured interactions to share information related to the classroom and their personal worlds. They use familiar language to participate in activities that involve planning. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax, including familiar fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.

Students use modelled combinations of signs and demonstrate understanding that Auslan has language conventions and rules to create and make meaning. They identify patterns in Auslan and make comparisons between Auslan and English. They understand that Auslan is connected with culture and identity, and identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-AUSLAN-SECOND-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y5,5,Auslan,"By the end of Year 6, students initiate and use strategies to maintain interactions in Auslan that are related to their immediate environment. They collaborate in activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Auslan or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of signs, depicting signs (DSs), non-manual features (NMFs) and signing spaces. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of signs, pace and signing space to develop fluency. They use modelled structures when creating and responding in Auslan. They compare language structures and features in Auslan and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
