"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Greek Root phon Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u004-greek-root-phon.png","Greek & Latin Root Word Worksheets","","Help learners explore phon and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u004-greek-root-phon?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u004","2026-09-17T00:30:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Prefix Dis Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/e-u005-prefix-dis.png","Prefixes, Suffixes & Spelling Worksheets","","Explore prefix dis with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/e-u005-prefix-dis?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=e-u005","2026-09-17T04:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Common Vowel Teams Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/ee-u006-common-vowel-teams.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna common vowel teams worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/ee-u006-common-vowel-teams?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=ee-u006","2026-09-17T08:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root tele Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u005-greek-root-tele.png","Greek & Latin Root Word Worksheets","","Help learners explore tele and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u005-greek-root-tele?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u005","2026-09-17T12:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Prefix Sub Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/e-u006-prefix-sub.png","Prefixes, Suffixes & Spelling Worksheets","","Explore prefix sub with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/e-u006-prefix-sub?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=e-u006","2026-09-17T16:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Other Vowel Spellings Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/ee-u007-other-vowel-spellings.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna other vowel spellings worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/ee-u007-other-vowel-spellings?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=ee-u007","2026-09-18T00:30:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root chron Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u006-greek-root-chron.png","Greek & Latin Root Word Worksheets","","Help learners explore chron and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u006-greek-root-chron?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u006","2026-09-18T04:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Prefix Over Under Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/e-u007-prefix-over-under.png","Prefixes, Suffixes & Spelling Worksheets","","Explore prefix over under with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/e-u007-prefix-over-under?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=e-u007","2026-09-18T08:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Two-Syllable Word Building Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/ee-u008-two-syllable-word-building.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna two-syllable word building worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/ee-u008-two-syllable-word-building?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=ee-u008","2026-09-18T12:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root morph Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u007-greek-root-morph.png","Greek & Latin Root Word Worksheets","","Help learners explore morph and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u007-greek-root-morph?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u007","2026-09-18T16:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Suffixes Ful Less Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/e-u008-suffixes-ful-less.png","Prefixes, Suffixes & Spelling Worksheets","","Explore suffixes ful less with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/e-u008-suffixes-ful-less?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=e-u008","2026-09-19T00:30:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Plurals S ES Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/ee-u009-plurals-s-es.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna plurals s es worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/ee-u009-plurals-s-es?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=ee-u009","2026-09-19T04:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root micro Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u008-greek-root-micro.png","Greek & Latin Root Word Worksheets","","Help learners explore micro and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u008-greek-root-micro?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u008","2026-09-19T08:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Suffix Ness Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/e-u009-suffix-ness.png","Prefixes, Suffixes & Spelling Worksheets","","Explore suffix ness with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/e-u009-suffix-ness?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=e-u009","2026-09-19T12:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"ED ING Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/ee-u010-ed-ing.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna ed ing worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/ee-u010-ed-ing?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=ee-u010","2026-09-19T16:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root macro Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u009-greek-root-macro.png","Greek & Latin Root Word Worksheets","","Help learners explore macro and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u009-greek-root-macro?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u009","2026-09-20T00:30:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Suffix Ment Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/e-u010-suffix-ment.png","Prefixes, Suffixes & Spelling Worksheets","","Explore suffix ment with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/e-u010-suffix-ment?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=e-u010","2026-09-20T04:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"ER EST Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/ee-u011-er-est.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna er est worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/ee-u011-er-est?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=ee-u011","2026-09-20T08:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Roots photo / phot Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u010-greek-roots-photo-phot.png","Greek & Latin Root Word Worksheets","","Help learners explore photo / phot and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u010-greek-roots-photo-phot?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u010","2026-09-20T12:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Suffix Ly Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/e-u011-suffix-ly.png","Prefixes, Suffixes & Spelling Worksheets","","Explore suffix ly with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/e-u011-suffix-ly?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=e-u011","2026-09-20T16:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Compound Words and Base Words Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/ee-u012-compound-words-and-base-words.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna compound words and base words worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/ee-u012-compound-words-and-base-words?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=ee-u012","2026-09-21T00:30:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root therm Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u011-greek-root-therm.png","Greek & Latin Root Word Worksheets","","Help learners explore therm and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u011-greek-root-therm?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u011","2026-09-21T04:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Suffix Able Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/e-u012-suffix-able.png","Prefixes, Suffixes & Spelling Worksheets","","Explore suffix able with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/e-u012-suffix-able?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=e-u012","2026-09-21T08:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Beginning Sounds Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/kf-u001-beginning-sounds.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna beginning sounds worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/kf-u001-beginning-sounds?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=kf-u001","2026-09-21T12:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root hydro Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u012-greek-root-hydro.png","Greek & Latin Root Word Worksheets","","Help learners explore hydro and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u012-greek-root-hydro?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u012","2026-09-21T16:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Prefix Contra Counter Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/hsf-u001-prefix-contra-counter.png","Prefixes, Suffixes & Spelling Worksheets","","Explore prefix contra counter with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/hsf-u001-prefix-contra-counter?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=hsf-u001","2026-09-22T00:30:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Ending Sounds Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/kf-u002-ending-sounds.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna ending sounds worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/kf-u002-ending-sounds?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=kf-u002","2026-09-22T04:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Roots astro / astr Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u013-greek-roots-astro-astr.png","Greek & Latin Root Word Worksheets","","Help learners explore astro / astr and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u013-greek-roots-astro-astr?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u013","2026-09-22T08:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Prefix Multi Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/hsf-u002-prefix-multi.png","Prefixes, Suffixes & Spelling Worksheets","","Explore prefix multi with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/hsf-u002-prefix-multi?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=hsf-u002","2026-09-22T12:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Segment and Blend Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/kf-u003-segment-and-blend.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna segment and blend worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/kf-u003-segment-and-blend?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=kf-u003","2026-09-22T16:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root auto Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u016-greek-root-auto.png","Greek & Latin Root Word Worksheets","","Help learners explore auto and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u016-greek-root-auto?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u016","2026-09-23T00:30:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Prefix Super Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/hsf-u003-prefix-super.png","Prefixes, Suffixes & Spelling Worksheets","","Explore prefix super with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/hsf-u003-prefix-super?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=hsf-u003","2026-09-23T04:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Consonant Sounds Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/kf-u004-consonant-sounds.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna consonant sounds worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/kf-u004-consonant-sounds?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=kf-u004","2026-09-23T08:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root psych Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u018-greek-root-psych.png","Greek & Latin Root Word Worksheets","","Help learners explore psych and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u018-greek-root-psych?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u018","2026-09-23T12:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Prefix Semi Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/hsf-u004-prefix-semi.png","Prefixes, Suffixes & Spelling Worksheets","","Explore prefix semi with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/hsf-u004-prefix-semi?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=hsf-u004","2026-09-23T16:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Short Vowel A Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/kf-u005-short-vowel-a.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna short vowel a worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/kf-u005-short-vowel-a?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=kf-u005","2026-09-24T00:30:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root path Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u020-greek-root-path.png","Greek & Latin Root Word Worksheets","","Help learners explore path and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u020-greek-root-path?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u020","2026-09-24T04:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Suffix Ary Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/hsf-u005-suffix-ary.png","Prefixes, Suffixes & Spelling Worksheets","","Explore suffix ary with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/hsf-u005-suffix-ary?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=hsf-u005","2026-09-24T08:00:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Short Vowel I Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/kf-u006-short-vowel-i.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna short vowel i worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/kf-u006-short-vowel-i?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=kf-u006","2026-09-24T12:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
"Greek Root gen Worksheet | Vocabulary & Morphology","https://www.mylearna.com/pinterest/word-builders/r-u021-greek-root-gen.png","Greek & Latin Root Word Worksheets","","Help learners explore gen and connect meaningful word parts with vocabulary. This MyLearna Word Builders worksheet supports homeschool morphology and word study.","https://www.mylearna.com/word-builders/r-u021-greek-root-gen?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=r-u021","2026-09-24T16:00:00.000Z","Greek roots, Latin roots, root words, morphology, vocabulary worksheet, homeschool English, word study"
"Suffix Ative Worksheet | Homeschool Word Study","https://www.mylearna.com/pinterest/word-builders/hsf-u006-suffix-ative.png","Prefixes, Suffixes & Spelling Worksheets","","Explore suffix ative with this printable MyLearna Word Builders worksheet. A homeschool-friendly resource for spelling, morphology and vocabulary practice.","https://www.mylearna.com/word-builders/hsf-u006-suffix-ative?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=hsf-u006","2026-09-25T00:30:00.000Z","prefix worksheet, suffix worksheet, morphology, spelling, word study, homeschool English, vocabulary"
"Short Vowel O Worksheet | Homeschool Phonics","https://www.mylearna.com/pinterest/word-builders/kf-u007-short-vowel-o.png","Homeschool Phonics & CVC Worksheets","","Support homeschool phonics with the MyLearna short vowel o worksheet. A practical Word Builders resource for sound, spelling and early reading practice.","https://www.mylearna.com/word-builders/kf-u007-short-vowel-o?utm_source=pinterest&utm_medium=organic&utm_campaign=word_builders&utm_content=kf-u007","2026-09-25T04:00:00.000Z","homeschool phonics worksheet, CVC words, early reading, short vowels, homeschool English, printable worksheet"
